ID,Name,Age,City,Join Date,Salary,Email,Notes,Unnamed: 0
2841,,30,NY,,,user.com,Good,82
7427,Charlie,-5,NY,2021/01/01,120000,,#Special@Char$,91
2103,BOB,25,Delhi,,75000,,#Special@Char$,75
7979,Bob,,,,75000,,Excellent!,80
8443,,,DEL,2021/01/01,50000,user@@example,N/A,61
6533,,150,,2021-01-01,75000,,,77
5341,Alice,,delhi,,,user.com,,23
8756,Bob,twenty,,1 Jan 2021,,,,89
9260,Bob,25,delhi,2021/01/01,-1000,,#Special@Char$,84
2037,BOB,,,1 Jan 2021,,user.com,,44
8311,,,New York,2021-01-01,,user@example.com,Good,82
6644,Ch@rlie,,Delhi,,fifty thousand,,,19
6345,,,NY,1 Jan 2021,,,Good,25
6467,,,,,,,Good,21
9148,Bob,-5,new york,01/01/2021,,,#Special@Char$,31
2670,,45,,01/01/2021,fifty thousand,user@example.com,Good,55
1902,Alic,30,delhi,1 Jan 2021,,user@example.com,,47
6426,Alic,150,delhi,2021/01/01,fifty thousand,user@example.com,Excellent!,8
3116,Ch@rlie,twenty,,1 Jan 2021,fifty thousand,,N/A,85
5278,,150,DEL,,75000,user.com,,42
2795,,25,,1 Jan 2021,,,,52
1716,Alice,150,,2021/01/01,fifty thousand,user@example.com,N/A,33
8591,Alice,45,new york,,-1000,user@example.com,N/A,25
3249,Alic,,Delhi,01/01/2021,fifty thousand,,,89
1842,Alice,,new york,2021-01-01,50000,,,25
3745,,25,new york,1 Jan 2021,,user@@example,Excellent!,8
9268,Alice,twenty,New York,1 Jan 2021,,,#Special@Char$,41
8423,Alice,-5,DEL,1 Jan 2021,fifty thousand,,,21
9035,Ch@rlie,,Delhi,01/01/2021,,user@example.com,,14
9598,BOB,45,,01/01/2021,50000,,Good,19
4496,Bob,,DEL,,-1000,,N/A,64
1480,Alic,45,DEL,2021/01/01,,,#Special@Char$,51
7060,Alic,30,delhi,01/01/2021,,user.com,#Special@Char$,28
7878,,25,new york,,50000,,,8
2515,BOB,,,2021-01-01,75000,,Good,93
4603,Alice,150,NY,,120000,user.com,,63
2766,,twenty,,2021/01/01,,user.com,,25
2622,Bob,-5,NY,2021/01/01,fifty thousand,,,55
6307,Alic,30,DEL,01/01/2021,75000,user.com,,59
4268,Charlie,,new york,2021/01/01,120000,,,100
7210,Ch@rlie,45,delhi,,-1000,user.com,N/A,2
3632,Alice,30,,1 Jan 2021,75000,,#Special@Char$,6
9168,Charlie,,,1 Jan 2021,,,N/A,28
9369,Bob,25,delhi,,fifty thousand,user@@example,Good,27
2481,,twenty,,2021/01/01,50000,,Excellent!,89
6942,Alice,25,new york,1 Jan 2021,,user.com,Excellent!,22
2405,Alic,45,delhi,01/01/2021,-1000,,N/A,39
6582,,-5,New York,2021-01-01,fifty thousand,user@example.com,Good,11
5107,Alice,150,delhi,,,,Good,69
2044,Ch@rlie,-5,Delhi,,-1000,,Excellent!,90
2406,,-5,delhi,01/01/2021,75000,,Excellent!,1
9751,Charlie,twenty,,01/01/2021,120000,user@@example,Good,25
6881,Ch@rlie,45,,,50000,user.com,N/A,8
6458,Ch@rlie,,DEL,01/01/2021,,user@example.com,,15
4115,Charlie,30,new york,01/01/2021,,user@example.com,#Special@Char$,41
9272,Alic,150,DEL,,,,,7
3658,Bob,twenty,,01/01/2021,,user@@example,,4
8933,Charlie,-5,,01/01/2021,120000,user.com,Excellent!,91
2381,BOB,150,Delhi,,,user@example.com,Good,55
7224,Ch@rlie,45,NY,2021/01/01,,user@@example,Good,95
1832,Ch@rlie,-5,DEL,,,user.com,#Special@Char$,75
9480,Alic,-5,delhi,2021/01/01,,,Good,80
2809,Alice,25,NY,2021/01/01,,user@example.com,,42
2395,Charlie,30,NY,1 Jan 2021,-1000,,Good,47
1681,,150,New York,01/01/2021,,user@@example,Excellent!,16
9572,Charlie,25,Delhi,1 Jan 2021,50000,,#Special@Char$,67
5054,,twenty,delhi,,120000,,Excellent!,37
8265,Alice,45,New York,,fifty thousand,user.com,N/A,61
5990,Charlie,-5,DEL,,fifty thousand,,N/A,66
8740,,,delhi,2021-01-01,,,,25
3875,,30,,,120000,user@example.com,,6
9230,Alice,-5,new york,,-1000,user@@example,,82
8222,Ch@rlie,-5,,2021-01-01,120000,,N/A,20
8842,Charlie,45,Delhi,01/01/2021,75000,,Excellent!,55
6985,Charlie,150,delhi,01/01/2021,75000,,,67
3851,Ch@rlie,twenty,delhi,01/01/2021,fifty thousand,user@example.com,,38
4041,Bob,30,,2021-01-01,50000,,#Special@Char$,15
8037,Charlie,25,New York,01/01/2021,120000,user@@example,Good,79
1571,Alice,,new york,2021-01-01,120000,user.com,Good,22
9131,Alic,30,Delhi,01/01/2021,120000,,#Special@Char$,67
7628,,25,,2021/01/01,-1000,user.com,N/A,2
6664,Bob,,DEL,01/01/2021,fifty thousand,user@example.com,,37
8952,BOB,25,New York,2021-01-01,50000,user.com,N/A,43
8347,Alic,,NY,2021-01-01,,user.com,#Special@Char$,94
2063,,45,New York,,-1000,user.com,#Special@Char$,25
1990,Alic,,DEL,2021-01-01,120000,user@example.com,Good,17
1963,Charlie,-5,New York,01/01/2021,50000,,N/A,70
5467,Ch@rlie,30,DEL,2021/01/01,50000,user.com,,68
5088,Bob,45,NY,01/01/2021,-1000,,#Special@Char$,72
3604,,45,delhi,,,user.com,Good,65
1355,Bob,,DEL,2021/01/01,-1000,user@@example,Excellent!,62
2629,Bob,45,,2021-01-01,,,N/A,14
3589,Alice,30,Delhi,,-1000,,Excellent!,89
4435,Ch@rlie,,delhi,2021-01-01,-1000,user.com,#Special@Char$,47
2456,Charlie,twenty,new york,2021/01/01,50000,user@example.com,,83
9363,BOB,-5,DEL,2021-01-01,-1000,,,78
7843,Alice,,new york,1 Jan 2021,-1000,,#Special@Char$,69
7095,Alice,25,New York,2021/01/01,,user.com,N/A,38
5476,Alice,25,NY,2021/01/01,120000,,Excellent!,77
6328,Alic,45,,1 Jan 2021,50000,,Good,15
9486,Alic,,DEL,2021-01-01,75000,,#Special@Char$,60
3935,Alice,twenty,,2021-01-01,75000,user@example.com,#Special@Char$,89
2612,Alice,25,NY,01/01/2021,fifty thousand,,Excellent!,8
3588,Bob,-5,Delhi,,,,#Special@Char$,76
8627,,150,NY,1 Jan 2021,,user@example.com,#Special@Char$,80
3842,,-5,new york,2021/01/01,75000,user.com,Excellent!,92
3414,BOB,150,,2021/01/01,,,Excellent!,96
5637,,twenty,,2021/01/01,,user@example.com,,100
1945,BOB,twenty,Delhi,2021-01-01,fifty thousand,,#Special@Char$,76
7885,Ch@rlie,30,Delhi,,fifty thousand,,,23
1486,Alic,150,DEL,2021-01-01,fifty thousand,,#Special@Char$,33
3675,Ch@rlie,25,New York,2021/01/01,-1000,,,9
7906,,-5,DEL,2021-01-01,,,,70
9761,Ch@rlie,,,2021/01/01,120000,user@example.com,#Special@Char$,39
1009,Charlie,,Delhi,,75000,user@example.com,,95
5933,Ch@rlie,30,DEL,2021-01-01,120000,user.com,,18
6642,Alice,150,Delhi,1 Jan 2021,120000,user.com,Excellent!,32
5043,,,,,75000,,,45
6661,,25,Delhi,2021/01/01,,,#Special@Char$,55
8800,Ch@rlie,,,2021-01-01,,user.com,Excellent!,11
3627,Charlie,45,New York,2021/01/01,-1000,user@example.com,,49
7274,Bob,,delhi,1 Jan 2021,120000,user.com,,15
4603,Alice,150,NY,,120000,user.com,,63
8005,BOB,twenty,NY,01/01/2021,120000,,Good,5
2960,Charlie,150,delhi,1 Jan 2021,fifty thousand,user@example.com,Excellent!,23
8306,BOB,150,New York,01/01/2021,fifty thousand,,,54
8527,,-5,DEL,,120000,,Excellent!,99
1478,Alic,150,NY,1 Jan 2021,-1000,user@@example,N/A,77
5508,Alice,twenty,delhi,01/01/2021,-1000,user@example.com,Good,99
2124,BOB,,delhi,01/01/2021,-1000,user@@example,Excellent!,54
9691,,twenty,NY,2021/01/01,75000,,Good,78
5136,Charlie,150,new york,2021/01/01,120000,user@example.com,#Special@Char$,99
3869,Ch@rlie,30,new york,2021-01-01,fifty thousand,user@@example,,65
2626,Ch@rlie,-5,new york,01/01/2021,,user@example.com,,20
6443,,-5,,2021/01/01,120000,,,36
6499,Charlie,twenty,,,fifty thousand,user.com,,78
9842,BOB,twenty,New York,,75000,user@example.com,,0
6431,Ch@rlie,30,,01/01/2021,-1000,user@example.com,N/A,20
9230,,,delhi,2021-01-01,75000,user@@example,Excellent!,71
2180,Bob,twenty,DEL,,75000,user@@example,,83
2584,,,DEL,,,,#Special@Char$,27
8997,Charlie,,,1 Jan 2021,,,Excellent!,19
7305,Bob,25,,1 Jan 2021,fifty thousand,user@example.com,#Special@Char$,58
8987,,45,New York,2021/01/01,,,#Special@Char$,79
7012,Ch@rlie,25,Delhi,2021/01/01,,user@@example,#Special@Char$,34
5489,Bob,,,2021-01-01,120000,user.com,Excellent!,99
7088,Bob,,,,,,N/A,21
4002,,,New York,2021-01-01,,,,82
8705,Bob,30,delhi,2021/01/01,75000,,Good,35
6511,Bob,,DEL,,,user@example.com,,21
1981,,30,new york,01/01/2021,50000,user@example.com,N/A,38
5078,Alic,25,,,120000,user@@example,,92
2692,Alic,twenty,new york,2021-01-01,,,,84
3278,Ch@rlie,-5,NY,2021/01/01,-1000,user@@example,#Special@Char$,53
5225,Alice,,New York,,120000,,,46
2697,,150,NY,1 Jan 2021,75000,user.com,,13
4678,,-5,NY,,120000,user@@example,Excellent!,7
6143,Bob,-5,,2021/01/01,75000,user@example.com,,38
6904,Alic,-5,Delhi,2021/01/01,50000,user@@example,,39
4450,,45,delhi,1 Jan 2021,120000,,N/A,17
9836,Bob,30,delhi,2021-01-01,75000,,N/A,94
7230,Bob,,,,120000,user.com,#Special@Char$,42
7948,Charlie,twenty,NY,2021-01-01,fifty thousand,user@example.com,N/A,80
1662,Alice,,NY,2021/01/01,,user@example.com,Good,64
7783,,25,DEL,1 Jan 2021,120000,user@@example,#Special@Char$,96
6286,Ch@rlie,twenty,,,,user@@example,,29
3178,Alic,30,Delhi,,120000,user.com,,78
5478,,-5,,2021/01/01,,user@example.com,Good,31
7375,Alic,30,Delhi,1 Jan 2021,,user@@example,N/A,8
9990,,45,delhi,2021-01-01,,,,58
2313,,150,NY,2021/01/01,50000,,,36
8278,Ch@rlie,45,,,,user.com,,22
2351,Alice,150,new york,,fifty thousand,,,37
7511,Charlie,45,,,fifty thousand,user.com,N/A,50
6599,Charlie,-5,new york,,,user.com,Good,36
4471,Charlie,-5,delhi,,,,,3
1273,Charlie,-5,delhi,1 Jan 2021,,,N/A,55
3653,,,,1 Jan 2021,120000,user@@example,#Special@Char$,80
3753,Bob,,NY,01/01/2021,fifty thousand,user.com,,25
9051,Charlie,-5,DEL,01/01/2021,120000,user@example.com,#Special@Char$,71
5314,,,Delhi,,50000,,Excellent!,32
6169,Alice,-5,DEL,,,user@example.com,Excellent!,39
5012,Alic,45,Delhi,1 Jan 2021,,,#Special@Char$,82
1113,,45,,2021/01/01,-1000,,Good,21
2260,BOB,twenty,delhi,,,user@@example,Excellent!,83
1693,,-5,Delhi,2021-01-01,50000,,,51
6863,Alic,30,DEL,,75000,user@example.com,Excellent!,17
5440,Alic,-5,Delhi,01/01/2021,50000,,,20
7977,Ch@rlie,25,,,-1000,,Excellent!,47
1100,Alic,-5,NY,01/01/2021,fifty thousand,user@@example,,6
9882,Alice,25,NY,,120000,,,87
9655,Ch@rlie,45,new york,2021/01/01,120000,,,43
7837,Alic,45,DEL,01/01/2021,50000,user.com,,15
8483,BOB,twenty,DEL,01/01/2021,,,Good,61
5512,,30,DEL,1 Jan 2021,,user.com,,1
7523,Alic,150,New York,,-1000,user.com,Excellent!,38
3999,Bob,30,new york,,120000,,Good,54
7363,Alice,,Delhi,,120000,user.com,Good,96
5906,,30,DEL,01/01/2021,50000,,#Special@Char$,38
7086,,45,new york,1 Jan 2021,,user@@example,,94
6183,Alice,,Delhi,,-1000,,,27
7229,BOB,twenty,delhi,,120000,user.com,N/A,49
7376,Alic,twenty,new york,,75000,user@@example,,77
5396,BOB,twenty,delhi,2021-01-01,fifty thousand,user.com,#Special@Char$,33
9843,,45,new york,,50000,user@example.com,N/A,16
9333,Ch@rlie,,,,75000,,Good,10
3968,,twenty,,,,user@example.com,N/A,27
6653,Alice,twenty,Delhi,,-1000,user@@example,Excellent!,54
8716,Alic,25,new york,,-1000,user@example.com,,77
7643,Charlie,twenty,,,fifty thousand,user.com,,16
8752,,twenty,DEL,2021/01/01,,,,1
6711,Ch@rlie,45,new york,2021-01-01,-1000,,#Special@Char$,71
8501,,twenty,,2021/01/01,-1000,user@@example,Good,14
5961,,twenty,NY,2021/01/01,fifty thousand,,,61
5670,Charlie,30,New York,,,,#Special@Char$,83
7025,,150,DEL,,50000,user@example.com,Good,49
8488,Alice,150,,,75000,,,69
7580,Ch@rlie,,NY,2021/01/01,,user@example.com,,3
9444,Alic,45,,1 Jan 2021,,,Good,94
5967,Bob,twenty,New York,2021-01-01,-1000,,N/A,66
1821,Ch@rlie,,delhi,1 Jan 2021,75000,,#Special@Char$,13
2846,Alic,45,Delhi,,75000,user.com,N/A,60
6210,Bob,twenty,NY,01/01/2021,50000,,,24
9991,Bob,,Delhi,1 Jan 2021,120000,,Excellent!,44
7481,,150,DEL,,-1000,user.com,Good,66
2975,Alic,45,DEL,1 Jan 2021,75000,user.com,,4
3807,Charlie,45,Delhi,2021/01/01,75000,user@example.com,N/A,82
1901,Alic,30,,2021-01-01,-1000,,#Special@Char$,34
6503,Bob,twenty,NY,,,user@@example,#Special@Char$,1
5993,Alic,30,New York,,50000,,,6
3539,Charlie,30,NY,2021/01/01,,,Good,31
9570,Ch@rlie,,DEL,,75000,user@@example,,72
1341,,,,,120000,,#Special@Char$,46
1556,Bob,-5,Delhi,,fifty thousand,,,70
4369,Alic,,,,fifty thousand,,Excellent!,14
7835,Charlie,twenty,,,,user.com,Good,78
3159,Ch@rlie,30,DEL,,50000,,Good,69
4483,BOB,150,,1 Jan 2021,120000,,N/A,72
8518,,45,,,50000,user.com,Good,49
7769,Alice,150,New York,,75000,user.com,,56
3213,Alice,,DEL,2021-01-01,75000,,#Special@Char$,2
7850,Ch@rlie,,delhi,,,,Excellent!,90
7251,Charlie,45,new york,2021/01/01,75000,user@example.com,N/A,49
8267,Alic,25,Delhi,2021-01-01,50000,user.com,N/A,31
8520,Alice,150,new york,2021/01/01,-1000,user@example.com,,47
8947,,-5,new york,01/01/2021,120000,user.com,Good,79
8778,,,New York,2021-01-01,fifty thousand,user.com,N/A,92
7126,Ch@rlie,150,delhi,1 Jan 2021,fifty thousand,user@@example,,39
2976,Alice,,DEL,2021/01/01,120000,user.com,Excellent!,53
4258,Ch@rlie,twenty,DEL,,,user@example.com,N/A,58
3973,Charlie,twenty,Delhi,1 Jan 2021,120000,user.com,Good,81
3150,Charlie,,delhi,,120000,user@@example,Good,65
6632,Bob,twenty,DEL,2021/01/01,120000,,,45
8254,BOB,,,2021-01-01,120000,user@@example,Excellent!,38
3215,BOB,twenty,DEL,,,user.com,,61
6142,,-5,,01/01/2021,50000,,Good,24
